fecha_extracción,provincia,marca_modelo,fecha_matriculacion,kilometraje,nombre_vendedor,tipo_vendedor,distintivo_ambiental,garantia,precio_contado,precio_nuevo,carroceria,num_puertas,num_plazas,peso,combustible,potencia_cv,cilindrada,tipo_cambio,num_marchas,largo,ancho,alto,capacidad_maletero,batalla,consumo_medio,consumo_carretera,consumo_urbano,CO2,deposito,cilindros,sobrealimentacion,traccion,potencia_kw,par,velocidad_max,aceleracion
2024-11-04 16:50:01.106559,Las Palmas,Detalles MERCEDES-BENZ EQA (2021) ,Matriculado: 01/2021,28000,GT CARS PREMIUM LAS PALMAS,Profesional,0 EMISIONES,12 meses,35900,no disponible,"4x4, SUV o pickup",5 Puertas,5,,Eléctrico,218,,Automático,,,,,,,,,,,,,,,,,,
2024-11-04 16:50:01.106559,Madrid,Detalles RENAULT Laguna (2001) ,Matriculado: 09/2001,246000,AUTOS VALDEL,Profesional,B,3 meses,2190,21300,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.865,Combustible Gasolina,Potencia (CV)123,Cilindrada (cm3) 1.783,Tipo de transmisión Manual,Número de marchas5,4576 mm Largo,1772 mm Ancho,1429 mm Alto,Capacidad del maletero (l)0/0,"Batalla (mm)
2.740","Consumo medio 7,50 litros/100 km","Consumo en carretera 6,10 litros/100 km","Consumo urbano 10,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)89,Par (Nm)168,Velocidad máxima (km/h)-,"Aceleración 0-100 km/h (s)10,70"
2024-11-04 16:50:01.106559,Ciudad Real,Detalles KGM / SSANGYONG Tivoli (2019) ,Matriculado: 10/2019,77440,AUTOS JIMECAR,Profesional,C,12 meses,15990,21063,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.880,Combustible Gasolina,Potencia (CV)163,Cilindrada (cm3) 1.497,Tipo de transmisión Automática secuencial,Número de marchas6,4225 mm Largo,1810 mm Ancho,1613 mm Alto,Capacidad del maletero (l)427/1.115,"Batalla (mm)
2.600","Consumo medio 7,50 litros/100 km","Consumo en carretera 6,40 litros/100 km","Consumo urbano 9,30 litros/100 km",CO2 (g/km) 160 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)120,Par (Nm)260,Velocidad máxima (km/h)175,"Aceleración 0-100 km/h (s)0,00"
2024-11-04 16:50:01.106559,Madrid,Detalles FORD Puma (2023) ,Matriculado: 06/2023,29011,ROMADRID CAR SLU,Profesional,ECO,19 meses,18990,26293,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.760,Combustible Gasolina,Potencia (CV)125,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4186 mm Largo,1805 mm Ancho,1537 mm Alto,Capacidad del maletero (l)402/1.216,"Batalla (mm)
2.588","Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 42,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)92,Par (Nm)210,Velocidad máxima (km/h)191,"Aceleración 0-100 km/h (s)9,80"
2024-11-04 16:50:01.106559,Vizcaya,Detalles CITROEN C4 (2024) ,Matriculado: 09/2024,10,"PEUGEOT KAREALDE, Stock Km0",Profesional,C,36 meses,20760,26750,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.735,Combustible Gasolina,Potencia (CV)130,Cilindrada (cm3) 1.199,Tipo de transmisión Manual,Número de marchas6,4360 mm Largo,1834 mm Ancho,1520 mm Alto,Capacidad del maletero (l)380/408,"Batalla (mm)
2.670","Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 60,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)96,Par (Nm)230,Velocidad máxima (km/h)210,"Aceleración 0-100 km/h (s)10,80"
2024-11-04 16:50:01.106559,Madrid,Detalles MERCEDES-BENZ Clase A (2021) ,Matriculado: 01/2021,95000,CARSFOREAL,Profesional,C,12 meses,21990,38438,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.995,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 1.950,Tipo de transmisión Automática secuencial,Número de marchas8,4419 mm Largo,1796 mm Ancho,1440 mm Alto,Capacidad del maletero (l)345/1.185,"Batalla (mm)
2.729","Consumo medio 4,20 litros/100 km","Consumo en carretera 3,70 litros/100 km","Consumo urbano 5,00 litros/100 km",CO2 (g/km) 110 g/km,"Depósito de combustible (l) 43,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)110,Par (Nm)320,Velocidad máxima (km/h)220,"Aceleración 0-100 km/h (s)8,10"
2024-11-04 16:50:01.106559,Madrid,Detalles VOLKSWAGEN California (2017) ,Matriculado: 04/2017,116131,CARSFOREAL,Profesional,C,12 meses,39990,52594,CarroceríaMonovolumen,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)3.000,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 1.968,Tipo de transmisión Manual,Número de marchas6,4904 mm Largo,1904 mm Ancho,1990 mm Alto,Capacidad del maletero (l)0/0,"Batalla (mm)
3.000","Consumo medio 6,40 litros/100 km","Consumo en carretera 5,70 litros/100 km","Consumo urbano 7,60 litros/100 km",CO2 (g/km) 168 g/km,"Depósito de combustible (l) 80,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)110,Par (Nm)340,Velocidad máxima (km/h)179,"Aceleración 0-100 km/h (s)0,00"
2024-11-04 16:50:01.106559,Alicante,Detalles MITSUBISHI Outlander (2017) ,Matriculado: 04/2017,79000,SALSANTA,Profesional,C,12 meses,18900,31250,CarroceríaTodo Terreno,Número de puertas5,Número de plazas7,Peso/Masa max. autorizado (kg)2.260,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 2.268,Tipo de transmisión Manual,Número de marchas6,4695 mm Largo,1810 mm Ancho,1680 mm Alto,Capacidad del maletero (l)519/1.625,"Batalla (mm)
2.670","Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,10 litros/100 km",CO2 (g/km) 134 g/km,"Depósito de combustible (l) 63,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)110,Par (Nm)380,Velocidad máxima (km/h)200,"Aceleración 0-100 km/h (s)10,00"
2024-11-04 16:50:01.106559,Alicante,Detalles RENAULT Captur (2020) ,Matriculado: 12/2020,29000,SALSANTA,Profesional,C,12 meses,18350,23190,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.775,Combustible Gasolina,Potencia (CV)130,Cilindrada (cm3) 1.333,Tipo de transmisión Manual,Número de marchas6,4228 mm Largo,1797 mm Ancho,1566 mm Alto,Capacidad del maletero (l)536/0,"Batalla (mm)
2.639","Consumo medio 5,60 litros/100 km","Consumo en carretera 5,30 litros/100 km","Consumo urbano 7,40 litros/100 km",CO2 (g/km) 127 g/km,"Depósito de combustible (l) 48,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)96,Par (Nm)240,Velocidad máxima (km/h)195,"Aceleración 0-100 km/h (s)10,60"
2024-11-04 16:50:01.106559,Alicante,Detalles MERCEDES-BENZ Clase C (2022) ,Matriculado: 12/2022,5000,AUTO SALON VILLANUEVA,Profesional,ECO,12 meses,72900,93146,CarroceríaBerlina,Número de puertas4,Número de plazas5,Peso/Masa max. autorizado (kg)2.350,Combustible Gasolina,Potencia (CV)408,Cilindrada (cm3) 1.991,Tipo de transmisión Automática secuencial,Número de marchas9,4791 mm Largo,1824 mm Ancho,1450 mm Alto,Capacidad del maletero (l)455/0,"Batalla (mm)
2.865","Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 66,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción total permanente,Potencia (KW)300,Par (Nm)500,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,60"
